site_code,correction_status,original_quality_tier,new_quality_tier,correction_methods,sl_filled_count,precip_extreme_correction_count
8447180,success,C,B,['only_minor_adjustments'],,
1409125,success,B,B,['missing_sea_level_linear_interpolation'],91.0,
1407081,success,B,B,['missing_sea_level_linear_interpolation'],26.0,
8720587,success,B,B,['missing_sea_level_linear_interpolation'],60.0,
8770733,success,B,B,['missing_sea_level_linear_interpolation'],263.0,
1409146,success,C,C,['only_minor_adjustments'],,
1408168,success,C,C,['only_minor_adjustments'],,
1378570,success,C,C,['only_minor_adjustments'],,
1407600,success,C,C,['only_minor_adjustments'],,
1407770,success,B,B,['missing_sea_level_linear_interpolation'],40.0,
262A,success,C,C,['only_minor_adjustments'],,
8720625,success,B,B,['missing_sea_level_linear_interpolation'],152.0,
8720226,success,B,B,['missing_sea_level_linear_interpolation'],374.0,
8720219,success,B,B,['missing_sea_level_linear_interpolation'],223.0,
S80_T,success,C,C,['only_minor_adjustments'],,
8770520,success,B,B,['missing_sea_level_linear_interpolation'],124.0,
IBS,success,C,C,['only_minor_adjustments'],,
594A,success,C,C,['only_minor_adjustments'],,
8659084,success,B,B,['missing_sea_level_linear_interpolation'],28.0,
8778490,success,B,B,['missing_sea_level_linear_interpolation'],91.0,
9414764,success,B,B,['only_minor_adjustments'],,
S79_T,success,C,C,['only_minor_adjustments'],,
9415252,success,B,B,['only_minor_adjustments'],,
2480212,success,B,B,['missing_sea_level_linear_interpolation'],83.0,
8571559,success,B,A,['missing_sea_level_linear_interpolation'],222.0,
761A,success,B,B,['only_minor_adjustments'],,
8518643,success,B,B,['only_minor_adjustments'],,
8452944,success,B,A,['missing_sea_level_linear_interpolation'],2761.0,
SNC,success,B,B,['missing_sea_level_linear_interpolation'],1515.0,
8533051,success,B,B,['only_minor_adjustments'],,
8726607,success,B,B,['missing_sea_level_linear_interpolation'],1858.0,
BAC,success,B,B,['missing_sea_level_linear_interpolation'],18.0,
MRU,success,B,B,['missing_sea_level_linear_interpolation'],15.0,
565A,success,B,B,['only_minor_adjustments'],,
8531804,success,B,B,['only_minor_adjustments'],,
763A,success,B,B,['only_minor_adjustments'],,
8411250,success,B,B,['missing_sea_level_linear_interpolation'],211.0,
279A,success,B,B,['only_minor_adjustments'],,
584A,success,B,B,['only_minor_adjustments'],,
745A,success,B,B,['only_minor_adjustments'],,
573A,success,B,B,['only_minor_adjustments'],,
577A,success,C,C,['only_minor_adjustments'],,
9411406,success,B,B,['missing_sea_level_linear_interpolation'],872.0,
557A,success,B,B,['only_minor_adjustments'],,
8419870,success,B,B,['missing_sea_level_linear_interpolation'],22.0,
8533365,success,B,B,['only_minor_adjustments'],,
8737048,success,B,B,['missing_sea_level_linear_interpolation'],522.0,
8555889,success,C,D,"['missing_sea_level_linear_interpolation', 'precipitation_outliers_capping']",3921.0,7263.0
SR3,success,B,B,['missing_sea_level_linear_interpolation'],17.0,
ROR,success,B,B,['missing_sea_level_linear_interpolation'],5004.0,
GYS,success,B,B,['missing_sea_level_linear_interpolation'],2745.0,
8413320,success,B,B,['missing_sea_level_linear_interpolation'],322.0,
8510560,success,B,B,['missing_sea_level_linear_interpolation'],867.0,
240A,success,B,B,['only_minor_adjustments'],,
8747437,success,B,B,['missing_sea_level_linear_interpolation'],589.0,
S21_T,success,B,A,['missing_sea_level_linear_interpolation'],1497.0,
8661070,success,B,B,['missing_sea_level_linear_interpolation'],322.0,
VOL,success,B,A,['missing_sea_level_linear_interpolation'],5145.0,
8631044,success,B,B,['missing_sea_level_linear_interpolation'],607.0,
BDL,success,B,B,['missing_sea_level_linear_interpolation'],3241.0,
8726384,success,B,A,['missing_sea_level_linear_interpolation'],4519.0,
FPT,success,B,B,['missing_sea_level_linear_interpolation'],2224.0,
RVB,success,B,A,['missing_sea_level_linear_interpolation'],3411.0,
MARKH,success,B,B,['missing_sea_level_linear_interpolation'],6275.0,
8726667,success,B,B,['missing_sea_level_linear_interpolation'],6591.0,
OLD,success,B,B,['missing_sea_level_linear_interpolation'],5328.0,
VON,success,B,B,['missing_sea_level_linear_interpolation'],5326.0,
MDTS,success,B,A,['missing_sea_level_linear_interpolation'],12295.0,
S44_T,success,B,A,['missing_sea_level_linear_interpolation'],7519.0,
S123,success,B,A,['missing_sea_level_linear_interpolation'],7935.0,
GORDO,success,B,A,['missing_sea_level_linear_interpolation'],10503.0,
S25B,success,B,A,['missing_sea_level_linear_interpolation'],19628.0,
S197,success,B,B,['missing_sea_level_linear_interpolation'],24880.0,
