site_code,site_name,latitude,longitude,country,null_value,start_date,end_date,duration_years,total_rows,sl_valid_count,sl_missing_count,sl_pct_missing,sl_min,sl_max,sl_p95,sl_p99,sl_extreme_values,sl_quality,sl_quality_score,precip_missing_count,precip_pct_missing,precip_max,precip_p95,precip_p99,ground_precip_coverage_pct,precip_quality,precip_quality_score,sl_threshold,precip_threshold,joint_exceedances,sl_exceedances,precip_exceedances,CPR,joint_quality,quality_tier,quality_description,quality_score
8770733,Lynchburg_Landing,29.764861,-95.078861,USA,-99.9999,1996-01-01 00:00:00,2017-08-29 06:00:00,21.659137577002053,189871,165611,24260,12.777096028356095,0.401,3.803,2.091,2.288,0,significant_missing,3,0,0.0,156.6158771514096,6.95502907035455,23.924809694285106,2.552259165433373,excellent,5,2.091,6.95502907035455,460,2512,9494,3.6622467894573707,sufficient_joint_events,B,Good - minor issues that can be corrected,80
1407081,Raritan_Bay_At_Keansburg_Nj,40.449167,-74.1475,USA,-99.9999,2000-10-30 00:00:00,2021-01-29 13:00:00,20.249144421629023,177518,140563,36955,20.817607228562736,-1.8197,2.1732,0.887,1.14,0,significant_missing,3,0,0.0,92.0565307139327,6.7041054368018145,18.8458174466745,7.17730033010737,excellent,5,0.887,6.7041054368018145,664,6934,8876,1.9151788842018216,sufficient_joint_events,B,Good - minor issues that can be corrected,80
1310521,Hudson_Bay_At_Freeport_Ny,40.627603,-73.575406,USA,-99.9999,1999-10-15 19:00:00,2021-04-07 03:00:00,21.475701574264203,188265,187413,852,0.4525535813879372,-1.1704,3.0724,1.0912,1.2893,0,excellent,5,0,0.0,88.7030363082885,7.437030076960035,20.378312822251512,7.139935728892784,excellent,5,1.0912,7.437030076960035,863,9178,9414,1.8804341817750514,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
8570283,Ocean_City_Inlet,38.328267,-75.091086,USA,-99.9999,1997-12-01 00:00:00,2021-07-31 22:00:00,23.66324435318275,207455,200283,7172,3.4571352823503894,1.707,4.313,3.37,3.532,0,excellent,5,0,0.0,152.8282344340255,7.55896558093806,21.133869886398234,5.750162685883685,excellent,5,3.37,7.55896558093806,1038,8663,10373,2.396340720603204,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
773A,Clearwater_Bch_FL,27.977,-82.832,USA,-99.9999,1996-01-01 00:00:00,2018-12-31 22:00:00,22.99794661190965,201623,195319,6304,3.1266274184988814,-0.202,2.334,1.47,1.62,0,excellent,5,0,0.0,149.2190510033424,5.990418747131716,18.5,4.100722635810398,excellent,5,1.47,5.990418747131716,977,9706,10082,2.013017989759881,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
8513388,Moriches_Cgs,40.7867,-72.75,USA,-99.9999,1989-07-18 17:00:00,2014-01-22 17:00:00,24.514715947980836,214897,208439,6458,3.005160611827992,0.143,1.84,1.301,1.4324899999999998,0,excellent,5,0,0.0,112.1970862150192,7.805830240158649,20.893173813819864,6.961474566885531,excellent,5,1.301,7.805830240158649,87,694,10745,2.507169610421307,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
8761955,Carrollton,29.9329,-90.135472,USA,-99.9999,1996-09-24 00:00:00,2021-08-31 22:00:00,24.933607118412045,218591,216310,2281,1.0435013335407222,-0.233,11.525,9.963,10.83,0,excellent,5,0,0.0,204.0318548679351,7.33734071254225,22.502893529829,4.98190684886386,excellent,5,9.963,7.33734071254225,347,6449,10930,1.0760915293292135,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
8454049,Quonset_Point,41.58694,-71.41,USA,-99.9999,1999-10-17 15:00:00,2021-08-31 22:00:00,21.872689938398356,191744,183623,8121,4.2353346128170895,6.193,9.236,8.36,8.571,0,excellent,5,0,0.0,103.8323819636275,6.9698470875891,20.351534932819433,7.917327269692924,excellent,5,8.36,6.9698470875891,716,9067,9587,1.5793866480505352,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
8720226,Southbank_Riverwalk,30.320499,-81.659058,USA,-99.9999,1997-04-01 00:00:00,2021-08-31 22:00:00,24.416153319644078,214055,195157,18898,8.828572095956646,-0.938,1.685,0.399,0.58,0,minor_missing,4,0,0.0,116.6659245969867,5.623287558483891,16.3235664367675,3.334656980682535,excellent,5,0.399,5.623287558483891,478,5811,10703,1.6451173116713171,sufficient_joint_events,B,Good - minor issues that can be corrected,90
LIR,Liberty_Island_RD2068,38.32928,-121.69397,USA,-99.9999,1997-12-18 14:00:00,2021-01-01 07:00:00,23.0362765229295,201954,199978,1976,0.9784406349960882,0.2316,4.4166,1.8959,2.2189,0,excellent,5,0,0.0,58.2834035158157,2.4126351252165597,11.748146712677674,3.5275359735385288,excellent,5,1.8959,2.4126351252165597,1402,9966,10098,2.813482537001325,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
8720587,St_Augustine_Beach,29.8567,-81.2633,USA,-99.9999,1981-01-01 00:00:00,2002-07-15 18:00:00,21.533196440793976,188779,176292,12487,6.614612854183993,-0.067,3.258,2.538,2.777,0,minor_missing,4,0,0.0,111.6686791180541,7.402806489199025,21.66230164216924,,excellent,5,2.538,7.402806489199025,390,4223,9439,1.8470183949949743,sufficient_joint_events,B,Good - minor issues that can be corrected,90
RRI,Rough_and_Ready_Island,37.963,-121.365,USA,-99.9999,2000-08-28 17:00:00,2021-01-01 06:00:00,20.34223134839151,178334,176376,1958,1.0979398207857167,-1.4995,2.9352,1.8776,2.0848,0,excellent,5,0,0.0,49.2346016494025,2.174898534977346,10.957077115701857,3.079614655646147,excellent,5,1.8776,2.174898534977346,879,8802,8917,1.9972061514968118,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
2480212,Pascagoula_River_At_Mi_1_At_Pascagoula_Ms,30.367778,-88.563056,USA,-99.9999,1999-09-23 14:00:00,2021-03-11 17:00:00,21.464750171115675,188164,177704,10460,5.558980463850683,-0.6614,2.3683,0.6066,0.7710940000000003,0,minor_missing,4,0,0.0,192.2998219728455,8.002004027366564,25.237874696488714,5.426649093344104,excellent,5,0.6066,8.002004027366564,842,8739,9409,1.9268300926196016,sufficient_joint_events,B,Good - minor issues that can be corrected,90
8771013,Eagle_Point,29.48,-94.918306,USA,-99.9999,1993-08-01 00:00:00,2021-08-31 22:00:00,28.082135523613964,246191,240917,5274,2.1422391557774247,0.3,4.758,1.959,2.148,0,excellent,5,0,0.0,155.2923500536849,6.608635644028,22.961993217370544,3.0354480870543603,excellent,5,1.959,6.608635644028,1615,11974,12310,2.697412665161193,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
8721604,Trident_Pier,28.415833,-80.593056,USA,-99.9999,1994-10-21 10:00:00,2021-08-31 22:00:00,26.861054072553046,235477,231372,4105,1.7432700433587993,4.909,7.75,6.765,6.972,0,excellent,5,0,0.0,152.3757159709475,5.552147030747465,16.7884886263891,3.409674830238197,excellent,5,6.765,5.552147030747465,1051,11524,11774,1.8239961998053473,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
MTB,Middle_River_at_Tracy_Blvd,37.881,-121.456,USA,-99.9999,1987-10-01 09:00:00,2021-06-02 18:00:00,33.67008898015058,295162,288367,6795,2.3021256123755767,-0.9205,3.6454,1.8989,2.1824,0,excellent,5,0,0.0,48.132929205792095,2.2026598452953,9.862181728656758,3.149795705409233,excellent,5,1.8989,2.2026598452953,1596,14332,14758,2.227199015452841,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
8518643,Randalls_Island,40.8,-73.9283,USA,-99.9999,1981-04-30 19:00:00,2014-08-09 23:00:00,33.275838466803556,291701,288589,3112,1.0668458455747496,0.936,3.425,2.8463999999999996,3.03788,0,excellent,5,0,0.0,121.1604102986712,6.8667083978652,19.9818611145019,6.946839400619127,excellent,5,2.8463999999999996,6.8667083978652,16,173,14580,1.8503516575877956,few_joint_events,B,Good - minor issues that can be corrected,90
1409125,Barnegat_Bay_At_Barnegat_Light_Nj,39.760833,-74.110556,USA,-99.9999,2000-10-28 15:00:00,2021-03-30 12:00:00,20.416153319644078,178990,150854,28136,15.719313928152411,-1.2649,1.5819,0.5456,0.7132,0,significant_missing,3,0,0.0,78.0303532947073,7.161706685963,19.463160365808456,7.371920219006649,excellent,5,0.5456,7.161706685963,853,7519,8948,2.2692990898990923,sufficient_joint_events,B,Good - minor issues that can be corrected,80
8772440,Freeport,28.9483,-95.3083,USA,-99.9999,1981-01-01 00:00:00,2008-03-19 13:00:00,27.211498973305954,238550,235240,3310,1.3875497799203522,0.11,3.318,1.887,2.048,0,excellent,5,0,0.0,170.5489337443282,7.992674047289887,26.118752181479934,1.0132047788723537,excellent,5,1.887,7.992674047289887,1276,11593,11928,2.2012361121500557,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
14246900,Columbia_River_At_Port_Westward_Near_Quincy_Or,46.181221,-123.183454,USA,-99.9999,1991-02-22 08:00:00,2021-05-02 00:00:00,30.187542778918548,264641,264625,16,0.006045926368174244,-0.3018,4.5232,2.4841,2.8743,0,excellent,5,0,0.0,88.6809983394414,9.2809110879557,20.568561255856743,6.160421098771543,excellent,5,2.4841,9.2809110879557,1620,13128,13232,2.4680166385185545,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
767A,Galveston_PPier,29.287,-94.79,USA,-99.9999,1981-01-01 00:00:00,2011-07-20 16:00:00,30.546201232032853,267785,266135,1650,0.6161659540302855,-0.208,3.952,1.798,1.966,0,excellent,5,0,0.0,160.2510392665408,8.709150552749575,26.25337553023163,1.261086319248651,excellent,5,1.798,8.709150552749575,1481,13181,13390,2.2470480939279436,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
565A,Port_San_Luis_CA,35.177,-120.76,USA,-99.9999,1981-01-01 00:00:00,2018-12-31 22:00:00,37.9958932238193,333095,305162,27933,8.38589591557964,0.582,3.743,2.938,3.173,0,minor_missing,4,0,0.0,97.2871780394371,1.633666753752919,12.837833820377577,1.821102087992915,excellent,5,2.938,1.633666753752919,1184,15251,16655,1.5526617632408255,sufficient_joint_events,B,Good - minor issues that can be corrected,90
S46_T,S46_T_Loxahatchee_SouthwestFork,26.93472222,-80.14138889,USA,-99.9999,1995-12-26 11:00:00,2017-12-31 22:00:00,22.015058179329227,192996,189070,3926,2.0342390515865616,-0.5121,2.7481,0.8849099999999976,1.5953619999999995,0,excellent,5,0,0.0,115.9334778785705,5.426222830934,14.657237753271941,4.969014901863251,excellent,5,0.8849099999999976,5.426222830934,549,9454,9650,1.161389087712414,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
9414863,Richmond,37.923,-122.409583,USA,-99.9999,1996-01-01 00:00:00,2021-08-31 22:00:00,25.66461327857632,224999,219437,5562,2.4720109867154965,2.768,6.181,5.383,5.596,0,excellent,5,0,0.0,56.3117780739048,2.64705836763706,12.564893275498358,3.3720149867332743,excellent,5,5.383,2.64705836763706,1288,10810,11250,2.3829681323877074,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
