site_code,site_name,latitude,longitude,country,null_value,start_date,end_date,duration_years,total_rows,sl_valid_count,sl_missing_count,sl_pct_missing,sl_min,sl_max,sl_p95,sl_p99,sl_extreme_values,sl_quality,sl_quality_score,precip_missing_count,precip_pct_missing,precip_max,precip_p95,precip_p99,ground_precip_coverage_pct,precip_quality,precip_quality_score,sl_threshold,precip_threshold,joint_exceedances,sl_exceedances,precip_exceedances,CPR,joint_quality,quality_tier,quality_description,quality_score
1310521,Hudson_Bay_At_Freeport_Ny,40.627603,-73.575406,USA,-99.9999,1999-10-15 19:00:00,2021-04-07 03:00:00,21.475701574264203,188265,187413,852,0.4525535813879372,-1.1704,3.0724,1.0912,1.2893,0,excellent,5,0,0.0,88.7030363082885,7.437030076960035,20.378312822251512,7.139935728892784,excellent,5,1.0912,7.437030076960035,863,9178,9414,1.8804341817750514,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
8570283,Ocean_City_Inlet,38.328267,-75.091086,USA,-99.9999,1997-12-01 00:00:00,2021-07-31 22:00:00,23.66324435318275,207455,200283,7172,3.4571352823503894,1.707,4.313,3.37,3.532,0,excellent,5,0,0.0,152.8282344340255,7.55896558093806,21.133869886398234,5.750162685883685,excellent,5,3.37,7.55896558093806,1038,8663,10373,2.396340720603204,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
773A,Clearwater_Bch_FL,27.977,-82.832,USA,-99.9999,1996-01-01 00:00:00,2018-12-31 22:00:00,22.99794661190965,201623,195319,6304,3.1266274184988814,-0.202,2.334,1.47,1.62,0,excellent,5,0,0.0,149.2190510033424,5.990418747131716,18.5,4.100722635810398,excellent,5,1.47,5.990418747131716,977,9706,10082,2.013017989759881,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
8513388,Moriches_Cgs,40.7867,-72.75,USA,-99.9999,1989-07-18 17:00:00,2014-01-22 17:00:00,24.514715947980836,214897,208439,6458,3.005160611827992,0.143,1.84,1.301,1.4324899999999998,0,excellent,5,0,0.0,112.1970862150192,7.805830240158649,20.893173813819864,6.961474566885531,excellent,5,1.301,7.805830240158649,87,694,10745,2.507169610421307,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
8761955,Carrollton,29.9329,-90.135472,USA,-99.9999,1996-09-24 00:00:00,2021-08-31 22:00:00,24.933607118412045,218591,216310,2281,1.0435013335407222,-0.233,11.525,9.963,10.83,0,excellent,5,0,0.0,204.0318548679351,7.33734071254225,22.502893529829,4.98190684886386,excellent,5,9.963,7.33734071254225,347,6449,10930,1.0760915293292135,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
8454049,Quonset_Point,41.58694,-71.41,USA,-99.9999,1999-10-17 15:00:00,2021-08-31 22:00:00,21.872689938398356,191744,183623,8121,4.2353346128170895,6.193,9.236,8.36,8.571,0,excellent,5,0,0.0,103.8323819636275,6.9698470875891,20.351534932819433,7.917327269692924,excellent,5,8.36,6.9698470875891,716,9067,9587,1.5793866480505352,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
LIR,Liberty_Island_RD2068,38.32928,-121.69397,USA,-99.9999,1997-12-18 14:00:00,2021-01-01 07:00:00,23.0362765229295,201954,199978,1976,0.9784406349960882,0.2316,4.4166,1.8959,2.2189,0,excellent,5,0,0.0,58.2834035158157,2.4126351252165597,11.748146712677674,3.5275359735385288,excellent,5,1.8959,2.4126351252165597,1402,9966,10098,2.813482537001325,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
RRI,Rough_and_Ready_Island,37.963,-121.365,USA,-99.9999,2000-08-28 17:00:00,2021-01-01 06:00:00,20.34223134839151,178334,176376,1958,1.0979398207857167,-1.4995,2.9352,1.8776,2.0848,0,excellent,5,0,0.0,49.2346016494025,2.174898534977346,10.957077115701857,3.079614655646147,excellent,5,1.8776,2.174898534977346,879,8802,8917,1.9972061514968118,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
8771013,Eagle_Point,29.48,-94.918306,USA,-99.9999,1993-08-01 00:00:00,2021-08-31 22:00:00,28.082135523613964,246191,240917,5274,2.1422391557774247,0.3,4.758,1.959,2.148,0,excellent,5,0,0.0,155.2923500536849,6.608635644028,22.961993217370544,3.0354480870543603,excellent,5,1.959,6.608635644028,1615,11974,12310,2.697412665161193,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
8721604,Trident_Pier,28.415833,-80.593056,USA,-99.9999,1994-10-21 10:00:00,2021-08-31 22:00:00,26.861054072553046,235477,231372,4105,1.7432700433587993,4.909,7.75,6.765,6.972,0,excellent,5,0,0.0,152.3757159709475,5.552147030747465,16.7884886263891,3.409674830238197,excellent,5,6.765,5.552147030747465,1051,11524,11774,1.8239961998053473,sufficient_joint_events,A,"Excellent - complete data, realistic values",100
