site_code,site_name,latitude,longitude,country,null_value,start_date,end_date,duration_years,total_rows,sl_valid_count,sl_missing_count,sl_pct_missing,sl_min,sl_max,sl_p95,sl_p99,sl_extreme_values,sl_quality,sl_quality_score,precip_missing_count,precip_pct_missing,precip_max,precip_p95,precip_p99,ground_precip_coverage_pct,precip_quality,precip_quality_score,sl_threshold,precip_threshold,joint_exceedances,sl_exceedances,precip_exceedances,CPR,joint_quality,quality_tier,quality_description,quality_score
8770733,Lynchburg_Landing,29.764861,-95.078861,USA,-99.9999,1996-01-01 00:00:00,2017-08-29 06:00:00,21.659137577002053,189871,165611,24260,12.777096028356095,0.401,3.803,2.091,2.288,0,significant_missing,3,0,0.0,156.6158771514096,6.95502907035455,23.924809694285106,2.552259165433373,excellent,5,2.091,6.95502907035455,460,2512,9494,3.6622467894573707,sufficient_joint_events,B,Good - minor issues that can be corrected,80
1407081,Raritan_Bay_At_Keansburg_Nj,40.449167,-74.1475,USA,-99.9999,2000-10-30 00:00:00,2021-01-29 13:00:00,20.249144421629023,177518,140563,36955,20.817607228562736,-1.8197,2.1732,0.887,1.14,0,significant_missing,3,0,0.0,92.0565307139327,6.7041054368018145,18.8458174466745,7.17730033010737,excellent,5,0.887,6.7041054368018145,664,6934,8876,1.9151788842018216,sufficient_joint_events,B,Good - minor issues that can be corrected,80
8720226,Southbank_Riverwalk,30.320499,-81.659058,USA,-99.9999,1997-04-01 00:00:00,2021-08-31 22:00:00,24.416153319644078,214055,195157,18898,8.828572095956646,-0.938,1.685,0.399,0.58,0,minor_missing,4,0,0.0,116.6659245969867,5.623287558483891,16.3235664367675,3.334656980682535,excellent,5,0.399,5.623287558483891,478,5811,10703,1.6451173116713171,sufficient_joint_events,B,Good - minor issues that can be corrected,90
8720587,St_Augustine_Beach,29.8567,-81.2633,USA,-99.9999,1981-01-01 00:00:00,2002-07-15 18:00:00,21.533196440793976,188779,176292,12487,6.614612854183993,-0.067,3.258,2.538,2.777,0,minor_missing,4,0,0.0,111.6686791180541,7.402806489199025,21.66230164216924,,excellent,5,2.538,7.402806489199025,390,4223,9439,1.8470183949949743,sufficient_joint_events,B,Good - minor issues that can be corrected,90
2480212,Pascagoula_River_At_Mi_1_At_Pascagoula_Ms,30.367778,-88.563056,USA,-99.9999,1999-09-23 14:00:00,2021-03-11 17:00:00,21.464750171115675,188164,177704,10460,5.558980463850683,-0.6614,2.3683,0.6066,0.7710940000000003,0,minor_missing,4,0,0.0,192.2998219728455,8.002004027366564,25.237874696488714,5.426649093344104,excellent,5,0.6066,8.002004027366564,842,8739,9409,1.9268300926196016,sufficient_joint_events,B,Good - minor issues that can be corrected,90
8518643,Randalls_Island,40.8,-73.9283,USA,-99.9999,1981-04-30 19:00:00,2014-08-09 23:00:00,33.275838466803556,291701,288589,3112,1.0668458455747496,0.936,3.425,2.8463999999999996,3.03788,0,excellent,5,0,0.0,121.1604102986712,6.8667083978652,19.9818611145019,6.946839400619127,excellent,5,2.8463999999999996,6.8667083978652,16,173,14580,1.8503516575877956,few_joint_events,B,Good - minor issues that can be corrected,90
1409125,Barnegat_Bay_At_Barnegat_Light_Nj,39.760833,-74.110556,USA,-99.9999,2000-10-28 15:00:00,2021-03-30 12:00:00,20.416153319644078,178990,150854,28136,15.719313928152411,-1.2649,1.5819,0.5456,0.7132,0,significant_missing,3,0,0.0,78.0303532947073,7.161706685963,19.463160365808456,7.371920219006649,excellent,5,0.5456,7.161706685963,853,7519,8948,2.2692990898990923,sufficient_joint_events,B,Good - minor issues that can be corrected,80
565A,Port_San_Luis_CA,35.177,-120.76,USA,-99.9999,1981-01-01 00:00:00,2018-12-31 22:00:00,37.9958932238193,333095,305162,27933,8.38589591557964,0.582,3.743,2.938,3.173,0,minor_missing,4,0,0.0,97.2871780394371,1.633666753752919,12.837833820377577,1.821102087992915,excellent,5,2.938,1.633666753752919,1184,15251,16655,1.5526617632408255,sufficient_joint_events,B,Good - minor issues that can be corrected,90
763A,Dauphin_Island_AL,30.25,-88.075,USA,-99.9999,1981-03-31 19:00:00,2018-12-31 22:00:00,37.752224503764545,330940,290435,40505,12.239378739348522,0.274,3.013,1.409,1.555,0,significant_missing,3,0,0.0,179.0076285600648,8.4350806474361,27.39704851651181,5.635160452045688,excellent,5,1.409,8.4350806474361,1772,14461,16547,2.450729548440633,sufficient_joint_events,B,Good - minor issues that can be corrected,80
SR3,Three_Mile_Slough_at_San_Joaquin_R,38.09011,-121.68677,USA,-99.9999,1982-10-01 08:00:00,2021-03-16 15:00:00,38.455852156057496,337112,307170,29942,8.881914615913999,-0.4054,3.0663,1.9477,2.161,0,minor_missing,4,0,0.0,61.6918534039996,2.2596350590902,10.715324440139911,3.1844016231994114,excellent,5,1.9477,2.2596350590902,2128,15219,16855,2.796603918788847,sufficient_joint_events,B,Good - minor issues that can be corrected,90
MRU,Middle_River_at_Undine_Road,37.8339,-121.386,USA,-99.9999,1982-10-04 21:00:00,2021-05-14 14:00:00,38.60643394934976,338442,321286,17156,5.069110807760266,0.317,4.0508,2.6487,3.5082,0,minor_missing,4,0,0.0,47.1939959579685,2.1048828615050326,9.906002759891535,3.174842365900213,excellent,5,2.6487,2.1048828615050326,1276,16033,16923,1.591632432721941,sufficient_joint_events,B,Good - minor issues that can be corrected,90
8747437,Bay_Waveland_Yacht_Club,30.325,-89.325,USA,-99.9999,1981-01-01 00:00:00,2021-08-31 22:00:00,40.662559890485966,356471,328645,27826,7.805964580568967,-0.338,4.02,1.463,1.665,0,minor_missing,4,0,0.0,177.26723849773398,9.79962020272745,28.58223468065239,2.0338260335342846,excellent,5,1.463,9.79962020272745,1668,12670,17824,2.6329248433158243,sufficient_joint_events,B,Good - minor issues that can be corrected,90
8533051,Toms_River,39.95,-74.1983,USA,-99.9999,1981-01-01 00:00:00,2016-01-11 10:00:00,35.02532511978097,307043,300439,6604,2.1508388075937246,-1.032,0.046,-0.26975000000000005,-0.12915000000000054,0,excellent,5,0,0.0,294.6,9.19809877872238,23.03195955038747,1.6202942258901847,excellent,5,-0.26975000000000005,9.19809877872238,20,121,15353,3.305602103231231,few_joint_events,B,Good - minor issues that can be corrected,90
584A,Port_Angeles_WA,48.125,-123.44,USA,-99.9999,1981-01-01 00:00:00,2018-12-31 22:00:00,37.9958932238193,333095,251045,82050,24.632612317807233,-0.13,4.438,3.46,3.716,0,significant_missing,3,0,0.0,80.5230677127042,9.775378404901787,21.966208784352776,2.460259085245951,excellent,5,3.46,9.775378404901787,2623,12492,16655,4.19942463566956,sufficient_joint_events,B,Good - minor issues that can be corrected,80
8510560,Montauk,41.048333,-71.959444,USA,-99.9999,1981-01-01 00:00:00,2021-07-31 22:00:00,40.577686516084874,355727,334835,20892,5.8730430920340595,0.442,3.333,2.045,2.221,0,minor_missing,4,0,0.0,133.5160804208612,10.160511136024295,24.513006507877343,2.5997464347659864,excellent,5,2.045,10.160511136024295,2030,16600,17787,2.4456937549489575,sufficient_joint_events,B,Good - minor issues that can be corrected,90
GYS,Goodyear_Slough,38.118,-122.095,USA,-99.9999,1994-08-15 07:00:00,2021-01-01 07:00:00,26.38193018480493,231265,201896,29369,12.69928437074352,-0.9144,3.9228,1.8745,2.0544,0,significant_missing,3,0,0.0,61.6074681281588,2.615665197299634,12.742883414689365,3.205413702894947,excellent,5,1.8745,2.615665197299634,1085,10076,11564,2.1534927168531266,sufficient_joint_events,B,Good - minor issues that can be corrected,80
8720219,Dames_Point,30.387222,-81.559166,USA,-99.9999,1995-09-19 21:00:00,2021-08-31 22:00:00,25.949349760438057,227474,204318,23156,10.179624924167157,-0.479,3.389,2.45,2.633,0,significant_missing,3,0,0.0,156.6089570521853,5.682345923915451,16.5805131794297,3.977157829026614,excellent,5,2.45,5.682345923915451,303,4081,11374,1.484890997738903,sufficient_joint_events,B,Good - minor issues that can be corrected,80
MDTS,MDTS,25.27861111,-80.395,USA,-99.9999,1991-11-22 12:00:00,2016-01-08 11:00:00,24.125941136208077,211512,192629,18883,8.92762585574341,-0.1402,1.8288,1.0546,1.1857,0,minor_missing,4,0,0.0,150.4532720466613,5.571783706545789,14.455037340521631,2.0239986383751276,excellent,5,1.0546,5.571783706545789,683,9355,10576,1.4601264947672534,sufficient_joint_events,B,Good - minor issues that can be corrected,90
MARKH,CalahootchieRiver_MarkH,26.52361111,-82.00472222,USA,-99.9999,1992-01-22 02:00:00,2020-12-31 22:00:00,28.941820670773442,253725,206053,47672,18.78884619174303,-0.7803,1.2741,0.7102,0.8352,0,significant_missing,3,0,0.0,138.847678899765,5.137570500372758,15.68331222358659,3.4998522021874074,excellent,5,0.7102,5.137570500372758,799,10056,12687,1.5890070934993874,sufficient_joint_events,B,Good - minor issues that can be corrected,80
8726384,Port_Manatee,27.638333,-82.5625,USA,-99.9999,1990-05-31 13:00:00,2021-08-31 22:00:00,31.252566735112936,273970,256623,17347,6.331715151293937,-0.539,3.231,0.86,0.996,0,minor_missing,4,0,0.0,109.10263161679259,5.45414330585742,16.370744496565486,2.63678504945797,excellent,5,0.86,5.45414330585742,970,10006,13699,1.9387659323524067,sufficient_joint_events,B,Good - minor issues that can be corrected,90
ROR,Roaring_River,38.0931,-121.8875,USA,-99.9999,1987-01-01 09:00:00,2011-10-07 12:00:00,24.763860369609855,217084,177245,39839,18.351882220707193,-0.9144,3.7186,1.8014,2.0269,0,significant_missing,3,0,0.0,61.2332910295663,3.1160605884934083,13.100521200368528,2.0766155036759963,excellent,5,1.8014,3.1160605884934083,1004,8857,10855,2.2669662559526733,sufficient_joint_events,B,Good - minor issues that can be corrected,80
8726607,Old_Port_Tampa,27.857778,-82.552778,USA,-99.9999,1996-03-01 00:00:00,2021-08-31 22:00:00,25.50034223134839,223559,205356,18203,8.142369575816675,7.704,10.551,9.509,9.657,0,minor_missing,4,0,0.0,129.6588331459816,5.519608407081437,16.183105707066,4.133137113692582,excellent,5,9.509,5.519608407081437,1185,9106,11178,2.6026679099704686,sufficient_joint_events,B,Good - minor issues that can be corrected,90
761A,Panama_City_Beach,30.213,-85.88,USA,-99.9999,1993-01-01 00:00:00,2018-12-31 22:00:00,25.9958932238193,227903,174407,53496,23.473144276292985,2.541,5.811,3.808,3.944,0,significant_missing,3,0,0.0,137.4969363211562,9.600121825923207,28.491741478441305,1.4400863525271717,excellent,5,3.808,9.600121825923207,1135,8696,11396,2.610200881101295,sufficient_joint_events,B,Good - minor issues that can be corrected,80
S21_T,BiscayneBay_S21_T,25.54277778,-80.33055556,USA,-99.9999,1984-01-17 01:00:00,2020-12-31 22:00:00,36.955509924709105,323974,307413,16561,5.111829961663591,-0.5936,2.1751,0.6279,0.7878880000000005,0,minor_missing,4,0,0.0,114.5297586917877,5.267210415024622,14.056682884693142,5.2068993190811605,excellent,5,0.6279,5.267210415024622,1125,15287,16199,1.471811559338757,sufficient_joint_events,B,Good - minor issues that can be corrected,90
