site_code,site_name,latitude,longitude,country,null_value,start_date,end_date,duration_years,total_rows,sl_valid_count,sl_missing_count,sl_pct_missing,sl_min,sl_max,sl_p95,sl_p99,sl_extreme_values,sl_quality,sl_quality_score,precip_missing_count,precip_pct_missing,precip_max,precip_p95,precip_p99,ground_precip_coverage_pct,precip_quality,precip_quality_score,sl_threshold,precip_threshold,joint_exceedances,sl_exceedances,precip_exceedances,CPR,joint_quality,quality_tier,quality_description,quality_score
IBS,Ibis,38.157,-122.113,USA,-99.9999,1994-07-01 08:00:00,2021-01-01 07:00:00,26.50239561943874,232344,155078,77266,33.255001205109664,-0.9449,3.7582,2.097,2.3104,0,excessive_missing,2,0,0.0,77.7737826108477,2.741828709835606,13.520345017313929,3.190527838033261,excellent,5,2.097,2.741828709835606,653,7600,11618,1.718302724447545,sufficient_joint_events,C,Problematic - major issues but potentially usable with caveats,70
1378570,Hackensack_River_At_Hackensack_Nj,40.879167,-74.04,USA,-99.9999,2000-04-21 07:00:00,2021-04-06 13:00:00,20.958247775496236,183727,84900,98827,53.79013427531065,-2.1671,1.777,1.0372200000000011,1.2344,0,excessive_missing,2,0,0.0,112.5822794692794,6.8043798207213,20.419565141087237,7.17586418980335,excellent,5,1.0372200000000011,6.8043798207213,364,4245,9184,1.7153975983222733,sufficient_joint_events,C,Problematic - major issues but potentially usable with caveats,70
1407600,Shrewsbury_River_At_Sea_Bright_Nj,40.365556,-73.974722,USA,-99.9999,2000-01-17 19:00:00,2021-04-06 13:00:00,21.215605749486652,185995,112279,73716,39.63332347643754,-1.2192,1.9111,0.7132,0.9205,0,excessive_missing,2,0,0.0,82.5107574461867,6.88577085727494,19.235941767590198,7.1523428049141105,excellent,5,0.7132,6.88577085727494,621,5527,9300,2.2470899455459126,sufficient_joint_events,C,Problematic - major issues but potentially usable with caveats,70
8447180,Sandwich,41.7717,-70.5067,USA,-99.9999,1981-01-01 00:00:00,2001-08-31 22:00:00,20.66255989048597,181151,176672,4479,2.472522922865455,-0.355,3.555,3.008,3.3495,0,excellent,5,0,0.0,87.5188112258911,10.16788333649285,24.2547586560224,,excellent,5,3.008,10.16788333649285,2,68,9058,0.5882060706817502,very_few_joint_events,C,Problematic - major issues but potentially usable with caveats,80
S80_T,S80_T_SaintLucieEstuary,27.11166667,-80.285,USA,-99.9999,1998-05-17 09:00:00,2020-12-31 22:00:00,22.625598904859686,198350,99368,98982,49.902697252331734,-0.381,4.1148,0.6599,0.8588,0,excessive_missing,2,0,0.0,117.1865910291671,4.764603525397379,14.02875002745983,5.101083942525838,excellent,5,0.6599,4.764603525397379,457,4962,9918,1.8419063324500728,sufficient_joint_events,C,Problematic - major issues but potentially usable with caveats,70
1408168,Barnegat_Bay_At_Mantoloking_Nj,40.040556,-74.054444,USA,-99.9999,2000-04-11 15:00:00,2021-04-06 14:00:00,20.982888432580424,183960,126862,57098,31.03826918895412,-4.0295,2.097,0.3505,0.4968,0,excessive_missing,2,0,0.0,253.7,8.580508232114413,22.778934121125126,3.7513589910850187,excellent,5,0.3505,8.580508232114413,949,6286,9198,3.019408208717785,sufficient_joint_events,C,Problematic - major issues but potentially usable with caveats,70
594A,Harvest_Oil_P_CA,34.468,-120.673,USA,-99.9999,1992-05-14 04:00:00,2018-12-31 22:00:00,26.63107460643395,233467,152701,80766,34.594182475467626,3.008,5.929,5.301,5.533,0,excessive_missing,2,0,0.0,82.9712349673172,1.3,9.433078527363177,2.5245537913281106,excellent,5,5.301,1.3,509,7599,11457,1.3649474373606327,sufficient_joint_events,C,Problematic - major issues but potentially usable with caveats,70
1409146,East_Thorofare_At_Ship_Bottom_Nj,39.654167,-74.185833,USA,-99.9999,2000-05-05 15:00:00,2021-04-06 13:00:00,20.917180013689254,183383,135558,47825,26.079298517310765,-0.7559,1.1339,0.445,0.6066,0,excessive_missing,2,0,0.0,79.5669312346945,7.2790563105513,19.739326775055556,7.3518265051831415,excellent,5,0.445,7.2790563105513,910,6696,9167,2.7186781021582926,sufficient_joint_events,C,Problematic - major issues but potentially usable with caveats,70
8555889,Brandywine_Shoal_Light,38.987,-75.113,USA,-99.9999,1984-03-18 21:00:00,2021-08-31 22:00:00,37.45379876796714,328322,294513,33809,10.297512807548687,-1.469,8.426,7.554,7.788,0,significant_missing,3,315325,96.04138620013279,83300.0,6100.0,13700.0,3.9586137998672037,excessive_missing,2,7.554,6100.0,51,7163,614,3.80721005201813,sufficient_joint_events,C,Problematic - major issues but potentially usable with caveats,65
S79_T,CalahootchieRiver_S79_T,26.72305556,-81.69472222,USA,-99.9999,1998-05-17 09:00:00,2020-12-31 22:00:00,22.625598904859686,198350,98760,99590,50.20922611545248,-0.3749,1.6943,0.7071,0.8451,0,excessive_missing,2,0,0.0,153.2725691795349,4.877084493637005,14.512318535751628,3.9526090244517267,excellent,5,0.7071,4.877084493637005,539,4875,9918,2.21117057305805,sufficient_joint_events,C,Problematic - major issues but potentially usable with caveats,70
